subject,topic_id,first_year,last_year,n_years,cosine_sim,ttd,words_first,words_last
math,18,2000,2025,26,0.3,0.7,"janet, ideal, pommaret, pommaret_basis, whitehead, ring, basis, module, wiegand, zharkov","ideal, ring, operatorname, mathscr, module, prime, mathbb, submodule, monomial_ideal, local"
math,19,2000,2025,26,0.6,0.4,"measure, noi, theorem, condition, class, beta, channel, function, property, bihamiltonian","measure, theorem, inequality, condition, function, convergence, property, space, weak, class"
math,20,2000,2025,26,0.8,0.2,"representation, group, character, irreducible, hecke, algebra, coset, adic, local, field","representation, group, character, irreducible, adic, hecke, local, mathbb, field, mathrm"
math,21,2000,2025,26,0.4,0.6,"inference, regression, bayesian, stock_price, estimator, information, probability, knowledge, field, informative","estimator, estimation, datum, regression, distribution, bayesian, sample, posterior, function, inference"
math,22,2000,2025,26,0.4,0.6,"sequence, catalan, prime, length, integer, divisibility, filling, lambda, function, irregular","prime, code, sequence, permutation, integer, conjecture, sum, log, frac, length"
math,23,2010,2025,14,0.0,1.0,"secant_variety, segre_veronese, times_mathbb, mathbb_times, defective, mathbb_mathbb, dimension, sheaf, denote, mathcal_mathcal","geq, mathbb, conv, dim, mathrm, subset, hilb, dim_dim, cascade, closeness"
math,24,2000,2025,26,0.7,0.3,"manifold, structure, theory, symplectic, space, bundle, group, cohomology, quantization, geometry","structure, manifold, symplectic, theory, space, bundle, symmetry, contact, invariant, geometry"
math,25,2004,2025,14,0.2,0.8,"systolic, cat, sys, mathrm, lusternik_schnirelmann_category, category, inequality, sensitive, massey_product, equality","mathrm, dim, mathbb, bir, mathrm_mathrm, diff, adj, sym, cat, longmapsto"
math,26,2000,2025,26,0.3,0.7,"imbedding, goursat, webs, unlabeled, tensor, free, labeled_unlabeled, graph, sum, border","tensor, rank, decomposition, free, biquadratic, matrix, product, algorithm, webs, symmetric"
math,27,2002,2025,16,0.5,0.5,"mathcal, mathcal_mathcal, cup, cap, group, subseteq, class, word, infinite, subset","mathcal, mathcal_mathcal, mathbb, cap, subseteq, subset, mathfrak, mathcal_mathcal_mathcal_mathcal, pgf, widetilde"
math,28,2000,2025,26,0.0,1.0,"preference, metastable, eps, pitchfork_bifurcation, lefebvre, probability, paris, favourite, stationary, infective","population, particle, stochastic, rate, dynamic, diffusion, distribution, markov, equilibrium, price"
math,29,2000,2025,26,0.3,0.7,"bkm, numerical, order, holistic, reynold, scheme, measurement, boundary, incident, difference","numerical, scheme, finite_element, order, error, discretization, mesh, approximation, accuracy, convergence"
math,30,2001,2024,15,0.1,0.9,"hat, subset, setminus, bbb, hat_hat, bigcup, putx, pfl, jar, holomorphic","semifield, ker, vee, cup, hat, tough, lowercase, end_bmatrix, bmatrix, spectral_radius"
math,31,2004,2025,20,0.3,0.7,"sumset, arithmetic_progression, term, elementary, subset, element, proof, sum, leq, vec","sum, leq, vec, frac, geq, mathbf, infty, lim, frac_frac, times3"
math,32,2000,2025,26,0.4,0.6,"hyer_ulam, optimization, function, pompeiu, bolza, gradient, convex, penalty, hamilton_jacobi, lagrangian","optimization, algorithm, convex, function, gradient, convergence, objective, constraint, nonconvex, linear"
math,33,2000,2025,26,0.8,0.2,"matrix, random, distribution, probability, gaussian, eigenvalue, fluctuation, function, limit, measure","random, matrix, distribution, probability, gaussian, limit, function, moment, measure, asymptotic"
