subject,model,min_cluster_size,min_samples,n_neighbors,n_components,n_topics,coherence,outlier_ratio
physics,all-distilroberta-v1,150,20,15,10,165,0.7415808762915564,0.4183622557429038
physics,all-distilroberta-v1,150,20,25,5,160,0.7421046145225301,0.4478268892974554
physics,all-distilroberta-v1,150,20,25,10,143,0.7383898955555354,0.4319292466048349
physics,all-distilroberta-v1,200,5,10,5,147,0.7350172267484598,0.3912829520678554
physics,all-distilroberta-v1,200,5,10,10,143,0.7287317957604709,0.3867446740163077
physics,all-distilroberta-v1,200,5,15,5,133,0.733600177888702,0.4100375228109985
physics,all-distilroberta-v1,200,5,15,10,119,0.7159308488373749,0.3544367819234371
physics,all-distilroberta-v1,200,5,25,5,128,0.7315478175698519,0.4302068880671993
physics,all-distilroberta-v1,200,5,25,10,122,0.727114308089397,0.4357772142901081
physics,all-distilroberta-v1,200,10,10,5,142,0.7316495678549505,0.3858014776742692
physics,all-distilroberta-v1,200,10,10,10,147,0.7367667276603045,0.4001066221951869
physics,all-distilroberta-v1,200,10,15,5,122,0.7201118795329363,0.4017948069523139
physics,all-distilroberta-v1,200,10,15,10,126,0.7280240706876632,0.4025739691479109
physics,all-distilroberta-v1,200,10,25,5,124,0.732353601161651,0.420672403305288
physics,all-distilroberta-v1,200,10,25,10,118,0.7197205596589286,0.4012753654885825
physics,all-distilroberta-v1,200,20,10,5,134,0.7157582717355477,0.3674296532728229
physics,all-distilroberta-v1,200,20,10,10,139,0.7254547795311292,0.3934222307276965
physics,all-distilroberta-v1,200,20,15,5,118,0.7182090618611042,0.3909548837749725
physics,all-distilroberta-v1,200,20,15,10,125,0.7232426790249195,0.3894102288959818
physics,all-distilroberta-v1,200,20,25,5,112,0.713763996577872,0.4065107886625065
physics,all-distilroberta-v1,200,20,25,10,113,0.72053065901425,0.4086569020784493
math,BAAI/bge-base-en-v1.5,100,5,10,5,254,0.7090786682222766,0.4387815513893752
math,BAAI/bge-base-en-v1.5,100,5,10,10,250,0.7052622301889637,0.4473310628003947
math,BAAI/bge-base-en-v1.5,100,5,15,5,225,0.7072185198169493,0.4521819397141675
math,BAAI/bge-base-en-v1.5,100,5,15,10,233,0.7113680706029976,0.46998122035840467
math,BAAI/bge-base-en-v1.5,100,5,25,5,205,0.7158296156563083,0.49042238278638955
math,BAAI/bge-base-en-v1.5,100,5,25,10,218,0.7176979490619889,0.5090556068370627
math,BAAI/bge-base-en-v1.5,100,10,10,5,233,0.70588702595114,0.42164433268612533
math,BAAI/bge-base-en-v1.5,100,10,10,10,222,0.7025224211703686,0.4223127606073145
math,BAAI/bge-base-en-v1.5,100,10,15,5,212,0.7199597436761455,0.4635261164337779
math,BAAI/bge-base-en-v1.5,100,10,15,10,215,0.7078364274171839,0.45844606423274026
math,BAAI/bge-base-en-v1.5,100,10,25,5,195,0.7172755659382104,0.5035426679823026
math,BAAI/bge-base-en-v1.5,100,10,25,10,203,0.7176735313926829,0.5146767673552535
math,BAAI/bge-base-en-v1.5,100,20,10,5,231,0.711490045509761,0.46290225037400135
math,BAAI/bge-base-en-v1.5,100,20,10,10,223,0.7051615096074895,0.46371072985963013
math,BAAI/bge-base-en-v1.5,100,20,15,5,200,0.716216425463928,0.4784989018684152
math,BAAI/bge-base-en-v1.5,100,20,15,10,191,0.7180357027587236,0.46083967278861765
math,BAAI/bge-base-en-v1.5,100,20,25,5,194,0.7190259468540369,0.5288283413438584
math,BAAI/bge-base-en-v1.5,100,20,25,10,192,0.7202657520372778,0.5228379539739632
math,BAAI/bge-base-en-v1.5,150,5,10,5,176,0.7155187992988705,0.4392271700035013
math,BAAI/bge-base-en-v1.5,150,5,10,10,183,0.7095273085540218,0.43589139637775726
math,BAAI/bge-base-en-v1.5,150,5,15,5,158,0.7204483721331886,0.4513798262087405
math,BAAI/bge-base-en-v1.5,150,5,15,10,162,0.7127863335846604,0.47912276792819175
math,BAAI/bge-base-en-v1.5,150,5,25,5,150,0.7126758171265706,0.49010408377629944
math,BAAI/bge-base-en-v1.5,150,5,25,10,140,0.7103721409063167,0.4865645987840978
math,BAAI/bge-base-en-v1.5,150,10,10,5,170,0.7121375064978609,0.43709456663589774
math,BAAI/bge-base-en-v1.5,150,10,10,10,164,0.7083812705121747,0.4422764745201642
math,BAAI/bge-base-en-v1.5,150,10,15,5,150,0.7229239029252181,0.4452812171754146
math,BAAI/bge-base-en-v1.5,150,10,15,10,158,0.7155124772873102,0.45535856383486645
math,BAAI/bge-base-en-v1.5,150,10,25,5,134,0.7211140612273954,0.4862972276156221
math,BAAI/bge-base-en-v1.5,150,10,25,10,137,0.713374837195315,0.4918101664703823
math,BAAI/bge-base-en-v1.5,150,20,10,5,168,0.7125271173669508,0.46209377088837256
math,BAAI/bge-base-en-v1.5,150,20,10,10,164,0.7138724828169251,0.4504949549606901
math,BAAI/bge-base-en-v1.5,150,20,15,5,139,0.7173537628475396,0.44872521246458924
math,BAAI/bge-base-en-v1.5,150,20,15,10,146,0.716109416306699,0.4591526880351402
math,BAAI/bge-base-en-v1.5,150,20,25,5,140,0.7146455009512518,0.5075786994302448
math,BAAI/bge-base-en-v1.5,150,20,25,10,145,0.7179400472807574,0.5318712798803196
math,BAAI/bge-base-en-v1.5,200,5,10,5,140,0.7104698341484273,0.4377057007352707
math,BAAI/bge-base-en-v1.5,200,5,10,10,128,0.7072452743707843,0.44674539262182894
math,BAAI/bge-base-en-v1.5,200,5,15,5,114,0.7057574176549095,0.4405130980042652
math,BAAI/bge-base-en-v1.5,200,5,15,10,123,0.7092465717397061,0.45903173441130596
math,BAAI/bge-base-en-v1.5,200,5,25,5,121,0.7157296148077616,0.49466212560078937
math,BAAI/bge-base-en-v1.5,200,5,25,10,118,0.7075684683886477,0.4712926122799758
math,BAAI/bge-base-en-v1.5,200,10,10,5,138,0.7150907886639389,0.4466308049781965
math,BAAI/bge-base-en-v1.5,200,10,10,10,117,0.7040912022968084,0.43669987586338604
math,BAAI/bge-base-en-v1.5,200,10,15,5,120,0.7146269464897157,0.45686093516249165
math,BAAI/bge-base-en-v1.5,200,10,15,10,120,0.7070105590910779,0.4465671451761785
math,BAAI/bge-base-en-v1.5,200,10,25,5,112,0.7159881703829437,0.4853996244071681
math,BAAI/bge-base-en-v1.5,200,10,25,10,107,0.7062107053180708,0.4781678708979215
math,BAAI/bge-base-en-v1.5,200,20,10,5,125,0.7181715094904825,0.44840054747429736
math,BAAI/bge-base-en-v1.5,200,20,10,10,118,0.7052060757622048,0.4218225801317758
math,BAAI/bge-base-en-v1.5,200,20,15,5,115,0.7146418538225403,0.46538498265270395
math,BAAI/bge-base-en-v1.5,200,20,15,10,114,0.7084993028218979,0.45253206862526657
math,BAAI/bge-base-en-v1.5,200,20,25,5,117,0.7088170202157001,0.4713944679632046
math,BAAI/bge-base-en-v1.5,200,20,25,10,113,0.7139945752948239,0.49618996084922173
