subject,topic_id,window_from,window_to,transition,rbo_sim,drift,words_from,words_to
cs,2,2010–2015,2015–2020,2010–2015 → 2015–2020,0.793998,0.206002,"core, gpu, memory, parallel, processor, multicore, datum, hardware, architecture, cache, code, cpu, execution, parallelization, algorithm, cell, design, program, programming, rapidmind, virtualization","core, gpu, hardware, memory, parallel, processor, cache, code, datum, algorithm, design, hpc, mpi, architecture, dram, fpga, multicore, nvm"
cs,2,2015–2020,2020–2025,2015–2020 → 2020–2025,0.58484,0.41516,"core, gpu, hardware, memory, parallel, processor, cache, code, datum, algorithm, design, hpc, mpi, architecture, dram, fpga, multicore, nvm","datum, gpu, hardware, memory, accelerator, cache, design, parallel, fpga, core, hpc, latency, llm, cpu, cxl, dram, mpi, processor, workload"
cs,3,2000–2005,2005–2010,2000–2005 → 2005–2010,0.345618,0.654382,"robot, tape, erobot, mental, motor, neurocomputer, sensory, cognitive, device, dextrous, evolution, gestural, gravis, imagery, instruction, layered, machine, man, memory, multi_modal, subsumption","robot, control, end_effector, exteroceptive, gestural, kinematic, orthoglide, torque, algorithm, capable, cartesian, cognitive, computed, cope, dextrous, gravis, instruction, interactive, machine, man, mccallum, mobile, multi_modal, parallel, partial_observability, segmentation, simulated, space, tape, vision"
cs,3,2005–2010,2010–2015,2005–2010 → 2010–2015,0.293291,0.706709,"robot, control, end_effector, exteroceptive, gestural, kinematic, orthoglide, torque, algorithm, capable, cartesian, cognitive, computed, cope, dextrous, gravis, instruction, interactive, machine, man, mccallum, mobile, multi_modal, parallel, partial_observability, segmentation, simulated, space, tape, vision","robot, behavior, manipulation, submodularity, environment, imitation, imitator, kinematic, location, motor, object, sequence, terrain, acoustic, articulated, intelligence, learning, mrf, path, skill, switch, visual"
cs,3,2010–2015,2015–2020,2010–2015 → 2015–2020,0.326218,0.673782,"robot, behavior, manipulation, submodularity, environment, imitation, imitator, kinematic, location, motor, object, sequence, terrain, acoustic, articulated, intelligence, learning, mrf, path, skill, switch, visual","environment, object, robot, visual, human, action, manipulation, demonstration, motion, policy, agent, kinematic, learning, robotic, behavior, imitation, intelligence, recognizer, skill, submodularity"
cs,3,2015–2020,2020–2025,2015–2020 → 2020–2025,0.606524,0.393476,"environment, object, robot, visual, human, action, manipulation, demonstration, motion, policy, agent, kinematic, learning, robotic, behavior, imitation, intelligence, recognizer, skill, submodularity","action, environment, human, manipulation, object, policy, robot, robotic, agent, motion, navigation, demonstration, visual, vla"
cs,4,2005–2010,2010–2015,2005–2010 → 2010–2015,0.317244,0.682756,"graph, assignment, compatibility, grid, island, matching, quadratic, transform, wavelet, admissibility, algorithm, attribute, bistochastic, cardinality, chebyshev, compression, edge, emem, graphitour, induction, link, lossless, network, node, normalisation, quantization, random_walk, spectral, structure","graph, network, subgraph, wavelet, datum, filterbank, kernel, node, bipartite, signal, affinity, aliasing, arma, attribute, blockmodel, chebychev, classification, consistency, dictionary, discriminative, downsampling, edge, filter, graphlab, image, link, matching, nefi, nmf, nnlrs, qmfs, quantization, random_walk, transform, variate"
cs,4,2010–2015,2015–2020,2010–2015 → 2015–2020,0.456107,0.543893,"graph, network, subgraph, wavelet, datum, filterbank, kernel, node, bipartite, signal, affinity, aliasing, arma, attribute, blockmodel, chebychev, classification, consistency, dictionary, discriminative, downsampling, edge, filter, graphlab, image, link, matching, nefi, nmf, nnlrs, qmfs, quantization, random_walk, transform, variate","datum, graph, network, node, structure, filter, representation, classification, nefi, signal, vertex, arma, neural_network, affinity, consistency, embedding, gcn, gnn, image, mag, matching"
cs,4,2015–2020,2020–2025,2015–2020 → 2020–2025,0.693806,0.306194,"datum, graph, network, node, structure, filter, representation, classification, nefi, signal, vertex, arma, neural_network, affinity, consistency, embedding, gcn, gnn, image, mag, matching","datum, gnn, graph, network, neural_network, node, representation, classification, neural_network_gnn, structure, dataset, gcn, learning"
cs,5,2000–2005,2005–2010,2000–2005 → 2005–2010,0.24234,0.75766,"recommendation, talkmine, web, apweb, preference, recommender, bucket, information, keyword, ontology, popularity, site, association, blacksburg, bookmark, bookmarking, clickstream, collaborative, content, distance, document, dynamical, evidence, extendable, link, motivated, ontological, partial, personalization, pipe, profile, rank, retrieval, tag, tagging, topic, unobtrusive, web_page, website","site, web, tagging, collaborative, collaborative_filtering, rating, bookmarking, bucket, multicampaign, nectarss, recommendation, recommender, simrank, tag, algorithm, bookmark, channel, commerce, content, contributory, customer, del_icio, dynamical, item, multidimensional, navigation, popularity, preference, query, rss, slope, social, ssnr"
cs,5,2005–2010,2010–2015,2005–2010 → 2010–2015,0.248716,0.751284,"site, web, tagging, collaborative, collaborative_filtering, rating, bookmarking, bucket, multicampaign, nectarss, recommendation, recommender, simrank, tag, algorithm, bookmark, channel, commerce, content, contributory, customer, del_icio, dynamical, item, multidimensional, navigation, popularity, preference, query, rss, slope, social, ssnr","collaborative_filtering, rating, recommendation, recommender, social, item, preference, algorithm, web, datum, network, cold_start, influencer, multicampaign, online, site, ssnr, suggestion, tag"
cs,5,2010–2015,2015–2020,2010–2015 → 2015–2020,0.713254,0.286746,"collaborative_filtering, rating, recommendation, recommender, social, item, preference, algorithm, web, datum, network, cold_start, influencer, multicampaign, online, site, ssnr, suggestion, tag","collaborative_filtering, item, preference, rating, recommendation, recommender, social, datum, dataset, algorithm, cold_start, content, interaction, movie, network, news"
cs,5,2015–2020,2020–2025,2015–2020 → 2020–2025,0.484697,0.515303,"collaborative_filtering, item, preference, rating, recommendation, recommender, social, datum, dataset, algorithm, cold_start, content, interaction, movie, network, news","dataset, interaction, item, preference, recommendation, recommender, collaborative_filtering, behavior, graph, llm, session, cold_start, ctr, datum, prediction, rating, sequential, social"
cs,6,2000–2005,2005–2010,2000–2005 → 2005–2010,0.152461,0.847539,"english, machine_translation, expression, japanese, language, translation, word, noun_phrase, temporal, adverbial, alignment, corpora, idiosyncrasy, preposition, anusaaraka, balkanet, clir, community, ellogon, eurowordnet, indian, multilingual, outline, parallel, princeton, text, word_sense_disambiguation, wordnet","corpora, translation, alignment, bilingual, document, eurowordnet, mark, mistake, parallel, word, word_sense_disambiguation, wordnet, acquis, balkanet, clu, corpus, descriptive, impersonal, infostream, jrc, language, machine_translation, princeton, punjabi_hindi, ukrainianlanguage, web"
cs,6,2005–2010,2010–2015,2005–2010 → 2010–2015,0.165031,0.834969,"corpora, translation, alignment, bilingual, document, eurowordnet, mark, mistake, parallel, word, word_sense_disambiguation, wordnet, acquis, balkanet, clu, corpus, descriptive, impersonal, infostream, jrc, language, machine_translation, princeton, punjabi_hindi, ukrainianlanguage, web","english, fertile, korean, translation, machine_translation, biword, corpora, india, language, lexicon, morpho, noun, sense, sentence, compositional, corpus, word"
cs,6,2010–2015,2015–2020,2010–2015 → 2015–2020,0.520083,0.479917,"english, fertile, korean, translation, machine_translation, biword, corpora, india, language, lexicon, morpho, noun, sense, sentence, compositional, corpus, word","english, language, machine_translation, sentence, translation, word, neural, nmt, phrase, smt, bleu, multilingual, biword, corpora, fertile, korean"
cs,6,2015–2020,2020–2025,2015–2020 → 2020–2025,0.783485,0.216515,"english, language, machine_translation, sentence, translation, word, neural, nmt, phrase, smt, bleu, multilingual, biword, corpora, fertile, korean","english, language, machine_translation, multilingual, translation, nmt, cross_lingual, neural, sentence, text, word, dataset, llm, bleu, resource"
cs,7,2000–2005,2005–2010,2000–2005 → 2005–2010,0.210078,0.789922,"neural_network, feedforward, memoryless, theintroduction, zeta, batch, certainprobabilistic, eigenvalue_eigenvector, functional, generalization, interneuron, komarova, multiextremal, algorithm, dimensionality, factorial, function, global, interference, manifold, memory, minimization, moment, mutual, quadratic, quantiser, signal, speed, tip_tongue, toroidal, tot","functional, learning, neural_network, perceptron, factorial, function, multiextremal, sparsification, teacher, barrier, binary, datum, discoverable, eigenvalue_eigenvector, error, feedforward, generalization, heavy_tail, hebbian, logarithm, manifold, matrix, mlp, multilayer, multilayer_perceptron, netlines, optimization, pattern, projection, quantiser, space, sparsity, thyroid, toroidal, truncated, unit"
cs,7,2005–2010,2010–2015,2005–2010 → 2010–2015,0.029986,0.970014,"functional, learning, neural_network, perceptron, factorial, function, multiextremal, sparsification, teacher, barrier, binary, datum, discoverable, eigenvalue_eigenvector, error, feedforward, generalization, heavy_tail, hebbian, logarithm, manifold, matrix, mlp, multilayer, multilayer_perceptron, netlines, optimization, pattern, projection, quantiser, space, sparsity, thyroid, toroidal, truncated, unit","network, neuron, plefka, vario, approximation, belief, deep, eta, hidden, jaakkola, mfng, neural_network, optimization, saul, training, weight, boltzmann_machine, chief, dropout, feedforward, function, hinton, image, jordan, layer, multi_layer_perceptron, piecewise, propagation, spns"
cs,7,2010–2015,2015–2020,2010–2015 → 2015–2020,0.227474,0.772526,"network, neuron, plefka, vario, approximation, belief, deep, eta, hidden, jaakkola, mfng, neural_network, optimization, saul, training, weight, boltzmann_machine, chief, dropout, feedforward, function, hinton, image, jordan, layer, multi_layer_perceptron, piecewise, propagation, spns","deep, function, layer, network, neural_network, training, weight, gradient, neuron, activation, relu, algorithm, propagation, spns"
cs,7,2015–2020,2020–2025,2015–2020 → 2020–2025,0.861636,0.138364,"deep, function, layer, network, neural_network, training, weight, gradient, neuron, activation, relu, algorithm, propagation, spns","deep, function, gradient, layer, network, neural_network, relu, training, activation, generalization, weight"
cs,8,2005–2010,2010–2015,2005–2010 → 2010–2015,0.720268,0.279732,"adversarial, adversary, cavity, clause, distinguishable, factorial, negation, satisfiability, thermodynamic, unsatisfiable","adversarial, adversarial_perturbation, adversary, cavity, clause, dataset, distinguishable, explanation, factorial, intriguing, maxout, mnist, negation, neural_network, nonlinearity, satisfiability, thermodynamic, training, unsatisfiable"
cs,8,2010–2015,2015–2020,2010–2015 → 2015–2020,0.547817,0.452183,"adversarial, adversarial_perturbation, adversary, cavity, clause, dataset, distinguishable, explanation, factorial, intriguing, maxout, mnist, negation, neural_network, nonlinearity, satisfiability, thermodynamic, training, unsatisfiable","adversarial, adversarial_perturbation, neural_network, training, perturbation, attack, defense, adversarial_attack, explanation, input, maxout, image, intriguing, nonlinearity, robustness, dataset, mnist, network"
cs,8,2015–2020,2020–2025,2015–2020 → 2020–2025,0.699534,0.300466,"adversarial, adversarial_perturbation, neural_network, training, perturbation, attack, defense, adversarial_attack, explanation, input, maxout, image, intriguing, nonlinearity, robustness, dataset, mnist, network","adversarial, adversarial_attack, adversarial_perturbation, attack, defense, image, perturbation, robustness, training, robust, neural_network, transferability"
cs,9,2000–2005,2005–2010,2000–2005 → 2005–2010,0.56569,0.43431,"logic, automata, property, rule, constraint, program, termination, atom, checking, declaration, infallible, infinite, monodic, prss, rsld, scheduling, specification, temporal, altl, consistency, elimination, fixpoint, language, normed, pevt_pfrr, pfrr_pevt, preorder, reach, sld, strand","logic, automata, program, verification, petri_net, property, abstraction, bisimulation, constraint, equivalence, gappa, language, abstract, bohne, calculus, clock, coinduction, concurrent, counterexample, decidable, decisive, fixpoint, infinite, ltl, mvpa, pevt_pfrr, pfrr_pevt, probabilistic, proof, prss, qrctl, reachability, semantic, termination, tla"
cs,9,2005–2010,2010–2015,2005–2010 → 2010–2015,0.663502,0.336498,"logic, automata, program, verification, petri_net, property, abstraction, bisimulation, constraint, equivalence, gappa, language, abstract, bohne, calculus, clock, coinduction, concurrent, counterexample, decidable, decisive, fixpoint, infinite, ltl, mvpa, pevt_pfrr, pfrr_pevt, probabilistic, proof, prss, qrctl, reachability, semantic, termination, tla","automata, logic, verification, program, bisimulation, property, specification, contract, equivalence, language, semantic, calculus, reachability, abstraction, concurrent, game, petri_net, pushdown, synthesis, temporal, termination, transition"
cs,9,2010–2015,2015–2020,2010–2015 → 2015–2020,0.763103,0.236897,"automata, logic, verification, program, bisimulation, property, specification, contract, equivalence, language, semantic, calculus, reachability, abstraction, concurrent, game, petri_net, pushdown, synthesis, temporal, termination, transition","automata, logic, program, property, specification, verification, concurrent, synthesis, reachability, contract, petri_net, temporal, formal, ltl, semantic, timed"
cs,9,2015–2020,2020–2025,2015–2020 → 2020–2025,0.658396,0.341604,"automata, logic, program, property, specification, verification, concurrent, synthesis, reachability, contract, petri_net, temporal, formal, ltl, semantic, timed","logic, program, specification, temporal, verification, property, reachability, automata, checking, petri_net, semantic, concurrent, language, synthesis, formal, game, ltl, timed"
cs,10,2000–2005,2005–2010,2000–2005 → 2005–2010,0.435298,0.564702,"function, algebraic, polynomial, tensor, tower, census, field, place, rational, algorithm, bisimulation, frame, symmetry, algebra, bent, boolean, class, cns95, complexity, covariant_derivative_curvature, curve, degree, equational, fibonomial_coefficient, irrational, linear, partial, pthree, young_symmetrizer, zeta","algebraic, algorithm, function, polynomial, complexity, matrix, bent, finite, linear, vpspace, algebra, arithmetic, boolean, class, computation, fractal, gal, interlace, monoid, noncommutative_determinant, oabp, qsic, rational, recurrence, rsbfs, sequence, symmetry, tensor, trinomial, zeta"
cs,10,2005–2010,2010–2015,2005–2010 → 2010–2015,0.774921,0.225079,"algebraic, algorithm, function, polynomial, complexity, matrix, bent, finite, linear, vpspace, algebra, arithmetic, boolean, class, computation, fractal, gal, interlace, monoid, noncommutative_determinant, oabp, qsic, rational, recurrence, rsbfs, sequence, symmetry, tensor, trinomial, zeta","algebraic, algorithm, function, matrix, polynomial, algebra, degree, field, bent, complexity, finite, linear, gapspp, integer, mathbb_mathbb, matroid, oabp, proof, puiseux_series, rational, recurrence, sum, symmetric"
cs,10,2010–2015,2015–2020,2010–2015 → 2015–2020,0.849988,0.150012,"algebraic, algorithm, function, matrix, polynomial, algebra, degree, field, bent, complexity, finite, linear, gapspp, integer, mathbb_mathbb, matroid, oabp, proof, puiseux_series, rational, recurrence, sum, symmetric","algebraic, algorithm, function, matrix, polynomial, mathbb_mathbb, bent, degree, finite, sum, complexity, arithmetic, boolean, field, integer, mathbb, ring, symmetric"
cs,10,2015–2020,2020–2025,2015–2020 → 2020–2025,0.819658,0.180342,"algebraic, algorithm, function, matrix, polynomial, mathbb_mathbb, bent, degree, finite, sum, complexity, arithmetic, boolean, field, integer, mathbb, ring, symmetric","algebraic, algorithm, function, mathbb_mathbb, polynomial, matrix, field, mathbb, finite, complexity, linear, sequence, adic, apn, boolean, conjecture, degree, differential, matroid, sum"
cs,11,2005–2010,2010–2015,2005–2010 → 2010–2015,0.057096,0.942904,"accomplishment, cbir, content, duty, image, incredible, lamppost, misconception, right, supervisor","abstraction, answer, cnn, common, compositional, derivation, image, light, meaning, question, reasoning, referent, referring_expression, scene, search, semantic, sense, unwritten, visual, vqg"
cs,11,2010–2015,2015–2020,2010–2015 → 2015–2020,0.3445,0.6555,"abstraction, answer, cnn, common, compositional, derivation, image, light, meaning, question, reasoning, referent, referring_expression, scene, search, semantic, sense, unwritten, visual, vqg","answer, image, question, reasoning, visual, vqa, dataset, cnn, object, sense, language, unwritten, vqg, common, dialog, flipdial, knowledge, linguistic, scene"
cs,11,2015–2020,2020–2025,2015–2020 → 2020–2025,0.62573,0.37427,"answer, image, question, reasoning, visual, vqa, dataset, cnn, object, sense, language, unwritten, vqg, common, dialog, flipdial, knowledge, linguistic, scene","image, question, reasoning, visual, vqa, dataset, language, vision_language, multimodal, object, answer, mllm, text, scene, vlm"
cs,12,2000–2005,2005–2010,2000–2005 → 2005–2010,0.173069,0.826931,"algebra, approximation, computer, curve, derivative, fortran, kranc, linear, numerical, orthogonal, rbf, rbfns, adf95, analytical, ann, carleman, code, conservation_law, constrain, einstein, entropic, gap, geometry, inductive, learning, mathematica, neutrino_oscillation, non, partial_differential_pde, people, principal, relativity, runge_kutta, stability, symbolic, tensorial, wave, wavelet","adf95, conservation_law, eddy, kranc, markov_chain, subgrid, symbolic, algebra, approximation, code, computer, cook, entropic, estimator, evolution, exemplified, fitness, flow, forecasting, fortran, illustrative, isotropic_turbulence, learning, macroscopic, microscopic, network, numerical, optimal, permit, riley, river, sfn, turbulence"
cs,12,2005–2010,2010–2015,2005–2010 → 2010–2015,0.002357,0.997643,"adf95, conservation_law, eddy, kranc, markov_chain, subgrid, symbolic, algebra, approximation, code, computer, cook, entropic, estimator, evolution, exemplified, fitness, flow, forecasting, fortran, illustrative, isotropic_turbulence, learning, macroscopic, microscopic, network, numerical, optimal, permit, riley, river, sfn, turbulence","variational, abstract_syntax, automatic_differentiation, datum, deep_learning, distributive, form, formulation, interestingness, language, library, mode, network, observable, partial_differential, supervisory, synthesizer, ufl, weak"
cs,12,2010–2015,2015–2020,2010–2015 → 2015–2020,0.325445,0.674555,"variational, abstract_syntax, automatic_differentiation, datum, deep_learning, distributive, form, formulation, interestingness, language, library, mode, network, observable, partial_differential, supervisory, synthesizer, ufl, weak","datum, deep_learning, network, pde, synthesizer, distributive, interestingness, neural_network, nonlinear, physics, deep, differential, mode, observable, partial_differential, supervisory, alamo, autocatalytic, liquid, numerical, ode, physical, variational"
cs,12,2015–2020,2020–2025,2015–2020 → 2020–2025,0.485766,0.514234,"datum, deep_learning, network, pde, synthesizer, distributive, interestingness, neural_network, nonlinear, physics, deep, differential, mode, observable, partial_differential, supervisory, alamo, autocatalytic, liquid, numerical, ode, physical, variational","datum, neural_network, pde, physics, pinn, dynamic, neural, numerical, ode, differential, operator, physical, deep_learning, network, deeponet, partial_differential_pde"
cs,13,2000–2005,2005–2010,2000–2005 → 2005–2010,0.045583,0.954417,"materialist, computer, equivalence, philosophy, quantum_mechanic, cognition, concern, difficulty, gedankenexperiment, patent, acquisition, antitrust, area, behaviour, code, cognitive, collective_intelligence, computationalism, deadlock, dream, human, institution, life, modeling, notion, pacific, pkaw, proceeding, science, scientific, society, technology, terminology, twin","intelligence, definition, mind, collective_intelligence, consciousness, crisis, deadlock, enlightenment, human, information, life, pkaw, proceeding, society, acquisition, artificial, artificial_intelligence, characterization, computationalism, conscious, decisionmaker, ethic, fear, hysteria, immaterial, info, informal, intelligent, isaac, law, machine, nnn, pacific, pancomputationalism, reform, response, revolution, roboethic, robot, robotic, technology, twin"
cs,13,2005–2010,2010–2015,2005–2010 → 2010–2015,0.35508,0.64492,"intelligence, definition, mind, collective_intelligence, consciousness, crisis, deadlock, enlightenment, human, information, life, pkaw, proceeding, society, acquisition, artificial, artificial_intelligence, characterization, computationalism, conscious, decisionmaker, ethic, fear, hysteria, immaterial, info, informal, intelligent, isaac, law, machine, nnn, pacific, pancomputationalism, reform, response, revolution, roboethic, robot, robotic, technology, twin","human, collective_intelligence, intelligence, artificial_intelligence, cognitive, definition, level, mind, behavior, society, agent, bluenetwork, cognition, conference, consumption, cow, creative, energy, enlightenment, ethic, fear, ghg_emission, god, hdi, hysteria, imposition, isaac, law, leadership, literature_review, machine, proceeding, revolution, roboethic, robot, robotic, unhealthy, universal"
cs,13,2010–2015,2015–2020,2010–2015 → 2015–2020,0.419056,0.580944,"human, collective_intelligence, intelligence, artificial_intelligence, cognitive, definition, level, mind, behavior, society, agent, bluenetwork, cognition, conference, consumption, cow, creative, energy, enlightenment, ethic, fear, ghg_emission, god, hdi, hysteria, imposition, isaac, law, leadership, literature_review, machine, proceeding, revolution, roboethic, robot, robotic, unhealthy, universal","artificial_intelligence, human, consciousness, intelligence, ethic, machine, agent, collective_intelligence, creative, creativity, development, ethical, social, society, technology, war, autonomous, avs, cognition, eaai, emotion, hdi, health, leadership, malevolent, policy, science, tesla, theory, utilitarian"
cs,13,2015–2020,2020–2025,2015–2020 → 2020–2025,0.523478,0.476522,"artificial_intelligence, human, consciousness, intelligence, ethic, machine, agent, collective_intelligence, creative, creativity, development, ethical, social, society, technology, war, autonomous, avs, cognition, eaai, emotion, hdi, health, leadership, malevolent, policy, science, tesla, theory, utilitarian","artificial_intelligence, development, ethic, ethical, human, social, technology, risk, intelligence, governance, safety, science, agent, genai, generative, moral, principle, society, trust"
cs,14,2000–2005,2005–2010,2000–2005 → 2005–2010,0.0,1.0,"categorical, cognitive, construct, control, formalisation, inference, language, memory, monadic, triple","analogy, lrme, mapping, achille_heel, acquisition, adaptation, analogical, discovery, engine, knowledge, latent, metaphor, opportunistic, relation, session, sme, smt"
cs,14,2005–2010,2010–2015,2005–2010 → 2010–2015,0.0,1.0,"analogy, lrme, mapping, achille_heel, acquisition, adaptation, analogical, discovery, engine, knowledge, latent, metaphor, opportunistic, relation, session, sme, smt","barrier, diversion, intuition, mental, mind, animal, anotherword, cat_dog, context, coroutine, cost, execution, inference, insuperable, logic, logical, mcss, multi, premise, proof, reasoning, recursive, selection, thematical, thought"
cs,14,2010–2015,2015–2020,2010–2015 → 2015–2020,0.016423,0.983577,"barrier, diversion, intuition, mental, mind, animal, anotherword, cat_dog, context, coroutine, cost, execution, inference, insuperable, logic, logical, mcss, multi, premise, proof, reasoning, recursive, selection, thematical, thought","math, reasoning, theme, cognitive, story, word, argumentation, favorite, homework, logic, problog, analogical, anticipatory, argument, commonsense, csr, epistemic, fiction, human, linn, mwps, nemus, semantic, tactic, warrant, western"
cs,14,2015–2020,2020–2025,2015–2020 → 2020–2025,0.355535,0.644465,"math, reasoning, theme, cognitive, story, word, argumentation, favorite, homework, logic, problog, analogical, anticipatory, argument, commonsense, csr, epistemic, fiction, human, linn, mwps, nemus, semantic, tactic, warrant, western","human, math, reasoning, language, commonsense, knowledge, llm, question, ability, argumentation, cognitive, logical, prompt, analogical, answer, belief, capability, cot, figural_analogy, gpt, inductive, linn, logic, mwp, symbolic, theme"
cs,15,2000–2005,2005–2010,2000–2005 → 2005–2010,0.287728,0.712272,"language, speech, speech_recognition, word, prosodic, tip_tongue, transcription, vocabulary, amharic, collection, entropy, ethiopian, ethiopic, intertrans, maximum, metaphone, multitrans, orthographic, orthography, partial, phonetic, prosody, psycholinguistic, recognizer, repair, retrieval, schema, speedup, spoken, switchboard, target, transcribed, treetran, trigram, xml","phoneme, speech, recurrent_neural_network, speech_recognition, syllabic, timit, blstm, disorder, language, romanian, transcript, transcription, alignment, classifier, ctc, hesitation, hmms, imperfect, linguistique, parole, recognition, segment, syllable, synthesis, tat, therapy, trajectory, zha"
cs,15,2005–2010,2010–2015,2005–2010 → 2010–2015,0.364982,0.635018,"phoneme, speech, recurrent_neural_network, speech_recognition, syllabic, timit, blstm, disorder, language, romanian, transcript, transcription, alignment, classifier, ctc, hesitation, hmms, imperfect, linguistique, parole, recognition, segment, syllable, synthesis, tat, therapy, trajectory, zha","speech, speech_recognition, corpus, language, phoneme, pronunciation, acoustic, arabic, dnn, hmms, kaldi, pba, pdnn, speaker, sphinx3, alignment, asr, british_national, confusion, corpora, disorder, eesen, lstm, nettalk, oral_history, recipe, recurrent_neural_network, rnns, romanian, speech_recognition_asr, timit, word, zha"
