subject,topic_id,window_from,window_to,rbo_sim,endpoint_drift,n_words_first,n_words_last,n_kept,n_removed,n_added,pct_kept,words_first,words_last,words_kept,words_added,words_removed
cs,36,2000–2005,2020–2025,0.502461,0.497539,12,21,6,6,15,50.0,"antenna, capacity, channel, channels, csi, fading, receiver, rician, awgn, baseband, mimo, transmitter","antenna, antennas, channel, mimo, multiple, massive, ris, estimation, beamforming, channels, csi, fading, precoding, covariance, fas, interference, irs, pilot, sensing, transmit, uplink","antenna, channel, channels, csi, fading, mimo","antennas, beamforming, covariance, estimation, fas, interference, irs, massive, multiple, pilot, precoding, ris, sensing, transmit, uplink","awgn, baseband, capacity, receiver, rician, transmitter"
cs,37,2000–2005,2020–2025,0.481243,0.518757,14,16,3,11,13,21.43,"auction, auctions, listing, listings, seller, sellers, bundles, bundling, ebay, elicitation, equilibrium, percent, visitors, website","auction, auctions, bidding, price, revenue, seller, buyers, bid, bidders, buyer, advertising, mechanism, optimal, prices, reserve, welfare","auction, auctions, seller","advertising, bid, bidders, bidding, buyer, buyers, mechanism, optimal, price, prices, reserve, revenue, welfare","bundles, bundling, ebay, elicitation, equilibrium, listing, listings, percent, sellers, visitors, website"
cs,38,2000–2005,2020–2025,0.304817,0.695183,25,15,4,21,11,16.0,"manifold, dimension, nonlinear, spaces, data, geometrical, gmst, points, tangent, unorganized, characteristics, classification, complexity, dimensional, eigendecomposition, entropy, geodesic, lloyd, neighborhood, plateau, progresses, quantization, regularized, relate, sets","data, dimension, dimensional, dimensionality, learning, manifold, manifolds, riemannian, euclidean, space, embedding, geometric, intrinsic, isomap, methods","data, dimension, dimensional, manifold","dimensionality, embedding, euclidean, geometric, intrinsic, isomap, learning, manifolds, methods, riemannian, space","characteristics, classification, complexity, eigendecomposition, entropy, geodesic, geometrical, gmst, lloyd, neighborhood, nonlinear, plateau, points, progresses, quantization, regularized, relate, sets, spaces, tangent"
cs,39,2000–2005,2020–2025,0.232861,0.767139,10,19,4,6,15,40.0,"aggregate, duty, energy, expenditure, joint, nodes, optimization, power, strategic, wireless","beamforming, energy, power, wireless, ris, communication, csi, irs, channel, mimo, harvesting, optimization, transmission, transmit, allocation, consumption, reconfigurable, sensing, swipt","energy, optimization, power, wireless","allocation, beamforming, channel, communication, consumption, csi, harvesting, irs, mimo, reconfigurable, ris, sensing, swipt, transmission, transmit","aggregate, duty, expenditure, joint, nodes, strategic"
cs,41,2000–2005,2020–2025,0.36373,0.63627,26,22,8,18,14,30.77,"codes, cc, algebraic, bounds, clifford, cyclic, stabilizer, bch, cyclicity, distance, nice, piret, reed, solomon, adic, automorphism, bases, code, convolutional, decodable, ideals, knill, matrices, mds, quantum, trellis","codes, cyclic, mathbb, reed, solomon, code, gf, mathcal, mds, quantum, dual, hermitian, lcd, mathrm, orthogonal, self, bch, cal, frac, pgl, qq, skew","bch, code, codes, cyclic, mds, quantum, reed, solomon","cal, dual, frac, gf, hermitian, lcd, mathbb, mathcal, mathrm, orthogonal, pgl, qq, self, skew","adic, algebraic, automorphism, bases, bounds, cc, clifford, convolutional, cyclicity, decodable, distance, ideals, knill, matrices, nice, piret, stabilizer, trellis"
cs,42,2000–2005,2020–2025,0.28036,0.71964,23,22,6,17,16,26.09,"codes, preparata, goethals, kerdock, code, dual, gleason, likelihood, maximum, reed, testable, binary, convolutional, decoding, enumerators, goppa, mds, nordstrom, quantum, robinson, solomon, stabilizer, testability","code, codes, linear, mathbb, mathcal, reed, binary, weight, constacyclic, dots, ell, multiplicity, solomon, dualities, lcd, lifted, lrc, mathfrak, mds, operatorname, subsetneq, textbaro","binary, code, codes, mds, reed, solomon","constacyclic, dots, dualities, ell, lcd, lifted, linear, lrc, mathbb, mathcal, mathfrak, multiplicity, operatorname, subsetneq, textbaro, weight","convolutional, decoding, dual, enumerators, gleason, goethals, goppa, kerdock, likelihood, maximum, nordstrom, preparata, quantum, robinson, stabilizer, testability, testable"
cs,44,2000–2005,2020–2025,0.511452,0.488548,24,24,10,14,14,41.67,"games, player, game, players, strategy, symmetric, barney, blue, coalition, digraphs, formulae, isomorphic, payoff, qmu, wilma, 2x2, agents, equilibrium, graph, np, rationalizability, red, theory, tournaments","game, games, player, players, equilibria, nash, equilibrium, graph, agents, graphs, width, bf, bidding, coalition, coloring, cut, di, fortification, max, payoff, poorman, strategy, subgame, sum","agents, coalition, equilibrium, game, games, graph, payoff, player, players, strategy","bf, bidding, coloring, cut, di, equilibria, fortification, graphs, max, nash, poorman, subgame, sum, width","2x2, barney, blue, digraphs, formulae, isomorphic, np, qmu, rationalizability, red, symmetric, theory, tournaments, wilma"
cs,45,2000–2005,2020–2025,0.092532,0.907468,28,22,6,22,16,21.43,"reachability, routing, achievement, advice, agents, agv, assignment, component, configuration, cooperative, disturb, exchange, heirarchical, hill, initiates, inquiry, las, learning, multi, networks, peer, reinforcement, robot, safe, spaces, task, topologies, vehicle","agent, agents, control, learning, reinforcement, multi, traffic, vehicles, communication, marl, planning, robot, uav, algorithm, avoidance, collision, decentralized, network, policy, robots, trajectory, vehicle","agents, learning, multi, reinforcement, robot, vehicle","agent, algorithm, avoidance, collision, communication, control, decentralized, marl, network, planning, policy, robots, traffic, trajectory, uav, vehicles","achievement, advice, agv, assignment, component, configuration, cooperative, disturb, exchange, heirarchical, hill, initiates, inquiry, las, networks, peer, reachability, routing, safe, spaces"
cs,46,2000–2005,2020–2025,0.01015,0.98985,36,18,3,33,15,8.33,"mth, abnormally, cache, cdot, digit, digits, grids, misses, mod, s1, s2, stencil, unfavorable, electromagnetism, ference, grow, hensel, isoperimetrical, jordan, lattice, matrix, multiplication, normal, nullspace, octahedron, omega, operations, parallel, parallelepiped, polynomial, product, qcd, siumilar, sj, slighly, softo","gpu, matrices, matrix, multiplication, sparse, algorithm, performance, spmv, algorithms, spgemm, mathbf, parallel, spmm, tensor, computation, memory, ntt, times","matrix, multiplication, parallel","algorithm, algorithms, computation, gpu, mathbf, matrices, memory, ntt, performance, sparse, spgemm, spmm, spmv, tensor, times","abnormally, cache, cdot, digit, digits, electromagnetism, ference, grids, grow, hensel, isoperimetrical, jordan, lattice, misses, mod, mth, normal, nullspace, octahedron, omega"
cs,47,2000–2005,2020–2025,0.125284,0.874716,10,19,1,9,18,10.0,"coarseness, estimators, gaussian, invariant, jeffreys, model, nml, principle, rissanen, wavelet","bayesian, gaussian, kernel, posterior, sampling, learning, distribution, distributions, langevin, mcmc, monte, kernels, regression, stochastic, diffusion, gp, gradient, inference, wasserstein",gaussian,"bayesian, diffusion, distribution, distributions, gp, gradient, inference, kernel, kernels, langevin, learning, mcmc, monte, posterior, regression, sampling, stochastic, wasserstein","coarseness, estimators, invariant, jeffreys, model, nml, principle, rissanen, wavelet"
