subject,transformer,word,topic_count,total_topics,fraction,percentage
math,all-distilroberta-v1,manifolds,9,167,0.05389221556886228,5.4
math,intfloat/e5-base-v2,mathbb,11,127,0.08661417322834646,8.7
math,intfloat/e5-base-v2,equations,9,127,0.07086614173228346,7.1
math,intfloat/e5-base-v2,model,9,127,0.07086614173228346,7.1
math,intfloat/e5-base-v2,solutions,7,127,0.05511811023622047,5.5
math,intfloat/e5-base-v2,equation,7,127,0.05511811023622047,5.5
math,intfloat/e5-base-v2,random,7,127,0.05511811023622047,5.5
math,all-mpnet-base-v2,equations,14,165,0.08484848484848485,8.5
math,all-mpnet-base-v2,solutions,13,165,0.07878787878787878,7.9
math,all-mpnet-base-v2,equation,13,165,0.07878787878787878,7.9
math,all-mpnet-base-v2,mathbb,11,165,0.06666666666666667,6.7
math,all-mpnet-base-v2,functions,9,165,0.05454545454545454,5.5
math,all-mpnet-base-v2,groups,9,165,0.05454545454545454,5.5
math,all-mpnet-base-v2,group,9,165,0.05454545454545454,5.5
math,all-mpnet-base-v2,model,9,165,0.05454545454545454,5.5
math,BAAI/bge-base-en-v1.5,solutions,14,150,0.09333333333333334,9.3
math,BAAI/bge-base-en-v1.5,equation,14,150,0.09333333333333334,9.3
math,BAAI/bge-base-en-v1.5,equations,10,150,0.06666666666666667,6.7
math,BAAI/bge-base-en-v1.5,mathbb,9,150,0.06,6.0
math,BAAI/bge-base-en-v1.5,algebra,9,150,0.06,6.0
math,BAAI/bge-base-en-v1.5,model,8,150,0.05333333333333334,5.3
math,allenai/specter2,of,2,2,1.0,100.0
math,allenai/specter2,and,2,2,1.0,100.0
math,allenai/specter2,we,2,2,1.0,100.0
math,allenai/specter2,the,2,2,1.0,100.0
math,allenai/specter2,to,2,2,1.0,100.0
math,allenai/specter2,in,2,2,1.0,100.0
math,allenai/specter2,that,1,2,0.5,50.0
math,allenai/specter2,is,1,2,0.5,50.0
math,allenai/specter2,for,1,2,0.5,50.0
math,allenai/specter2,on,1,2,0.5,50.0
math,allenai/specter2,topological,1,2,0.5,50.0
math,allenai/specter2,persistent,1,2,0.5,50.0
math,allenai/specter2,homology,1,2,0.5,50.0
math,allenai/specter2,persistence,1,2,0.5,50.0
physics,sentence-transformers/all-MiniLM-L6-v2,optical,15,165,0.09090909090909091,9.1
physics,sentence-transformers/all-MiniLM-L6-v2,flow,12,165,0.07272727272727272,7.3
physics,sentence-transformers/all-MiniLM-L6-v2,quantum,12,165,0.07272727272727272,7.3
physics,sentence-transformers/all-MiniLM-L6-v2,laser,9,165,0.05454545454545454,5.5
physics,sentence-transformers/all-MiniLM-L6-v2,electron,9,165,0.05454545454545454,5.5
physics,all-distilroberta-v1,flow,12,166,0.07228915662650602,7.2
physics,all-distilroberta-v1,laser,11,166,0.06626506024096386,6.6
physics,all-distilroberta-v1,quantum,10,166,0.060240963855421686,6.0
physics,all-distilroberta-v1,learning,10,166,0.060240963855421686,6.0
physics,all-distilroberta-v1,detector,10,166,0.060240963855421686,6.0
physics,all-distilroberta-v1,field,10,166,0.060240963855421686,6.0
physics,all-distilroberta-v1,optical,9,166,0.05421686746987952,5.4
physics,intfloat/e5-base-v2,quantum,12,132,0.09090909090909091,9.1
physics,intfloat/e5-base-v2,optical,11,132,0.08333333333333333,8.3
physics,intfloat/e5-base-v2,flow,8,132,0.06060606060606061,6.1
physics,intfloat/e5-base-v2,model,7,132,0.05303030303030303,5.3
physics,all-mpnet-base-v2,optical,16,164,0.0975609756097561,9.8
physics,all-mpnet-base-v2,electron,12,164,0.07317073170731707,7.3
physics,all-mpnet-base-v2,quantum,11,164,0.06707317073170732,6.7
physics,all-mpnet-base-v2,plasma,10,164,0.06097560975609756,6.1
physics,all-mpnet-base-v2,flow,10,164,0.06097560975609756,6.1
physics,all-mpnet-base-v2,data,9,164,0.054878048780487805,5.5
physics,BAAI/bge-base-en-v1.5,quantum,14,153,0.0915032679738562,9.2
physics,BAAI/bge-base-en-v1.5,optical,12,153,0.0784313725490196,7.8
physics,BAAI/bge-base-en-v1.5,flow,9,153,0.058823529411764705,5.9
physics,BAAI/bge-base-en-v1.5,laser,9,153,0.058823529411764705,5.9
physics,BAAI/bge-base-en-v1.5,detector,9,153,0.058823529411764705,5.9
physics,BAAI/bge-base-en-v1.5,electron,9,153,0.058823529411764705,5.9
physics,allenai/specter2,the,11,109,0.10091743119266056,10.1
physics,allenai/specter2,optical,10,109,0.09174311926605505,9.2
physics,allenai/specter2,of,9,109,0.08256880733944955,8.3
physics,allenai/specter2,flow,9,109,0.08256880733944955,8.3
physics,allenai/specter2,quantum,8,109,0.07339449541284404,7.3
physics,allenai/specter2,detector,7,109,0.06422018348623854,6.4
physics,allenai/specter2,magnetic,7,109,0.06422018348623854,6.4
physics,allenai/specter2,network,7,109,0.06422018348623854,6.4
physics,allenai/specter2,and,6,109,0.05504587155963303,5.5
physics,allenai/specter2,beam,6,109,0.05504587155963303,5.5
physics,allenai/specter2,plasma,6,109,0.05504587155963303,5.5
physics,allenai/specter2,data,6,109,0.05504587155963303,5.5
physics,allenai/specter2,turbulent,6,109,0.05504587155963303,5.5
physics,allenai/specter2,networks,6,109,0.05504587155963303,5.5
