subject,trend,rank,word,freq,n_topics_all_models
physics,STABLE,6,laser,466,230
physics,STABLE,7,flow,450,230
physics,STABLE,8,beam,446,230
physics,STABLE,9,network,439,230
physics,STABLE,10,plasma,411,230
physics,STABLE,11,particle,400,230
physics,STABLE,12,optical,400,230
physics,STABLE,13,field,384,230
physics,STABLE,14,dynamic,378,230
physics,STABLE,15,ion,376,230
physics,STABLE,16,fluid,331,230
physics,STABLE,17,theory,291,230
physics,STABLE,18,detector,288,230
physics,STABLE,19,surface,286,230
physics,STABLE,20,frequency,269,230
physics,DECLINING,1,energy,541,146
physics,DECLINING,2,atom,411,146
physics,DECLINING,3,electron,408,146
physics,DECLINING,4,quantum,367,146
physics,DECLINING,5,laser,330,146
physics,DECLINING,6,beam,322,146
physics,DECLINING,7,theory,316,146
physics,DECLINING,8,field,295,146
physics,DECLINING,9,wave,263,146
physics,DECLINING,10,optical,243,146
physics,DECLINING,11,molecule,223,146
physics,DECLINING,12,ion,217,146
physics,DECLINING,13,particle,215,146
physics,DECLINING,14,dynamic,202,146
physics,DECLINING,15,turbulence,200,146
physics,DECLINING,16,gravitational,195,146
physics,DECLINING,17,protein,187,146
physics,DECLINING,18,relativity,179,146
physics,DECLINING,19,force,168,146
physics,DECLINING,20,relativistic,165,146
