word,category,slope,overall_avg
general,decaying,-0.00017825,0.00670011
proof,decaying,-0.00017129,0.00392009
properties,decaying,-0.00016922,0.00619256
protocol,decaying,-0.00016728,0.00421608
theorem,decaying,-0.00016663,0.00299299
implementation,decaying,-0.00016513,0.00480817
computing,decaying,-0.00016479,0.00623257
complete,decaying,-0.00016438,0.00416773
logics,decaying,-0.00016385,0.00166967
automata,decaying,-0.00016293,0.00297622
described,decaying,-0.00016174,0.00225841
bound,decaying,-0.00016088,0.00571312
distributed,decaying,-0.00015822,0.0062594
describes,decaying,-0.00015729,0.00223656
given,decaying,-0.00015672,0.00769007
parallel,decaying,-0.0001548,0.00447676
classical,decaying,-0.00014333,0.00410441
coding,decaying,-0.00014119,0.00450771
probability,decaying,-0.00014081,0.00529918
application,decaying,-0.00013926,0.00592398
termination,decaying,-0.00013709,0.00122294
