subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
cs,machine,stable,10,11,2016,26,42.3,18,1.64,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 2, 2, 2, 2, 1, 1, 1, 1]",···█············██████████
cs,key,stable,10,12,2016,26,46.2,15,1.25,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1]",····█······█····██████████
cs,error,stable,21,22,2005,26,84.6,129,5.86,"[0, 1, 0, 0, 0, 2, 7, 10, 10, 4, 5, 8, 1, 8, 5, 9, 12, 18, 7, 7, 5, 4, 3, 1, 1, 1]",·█···█████████████████████
cs,source,stable,20,21,2006,26,80.8,78,3.71,"[0, 1, 0, 0, 0, 0, 6, 3, 3, 7, 3, 2, 3, 1, 5, 2, 13, 7, 4, 4, 4, 2, 3, 3, 1, 1]",·█····████████████████████
cs,environment,stable,10,16,2016,26,61.5,23,1.44,"[0, 2, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 2, 1, 2, 2, 2, 1, 2, 1, 1, 1]",·███····██····█·██████████
cs,game,stable,12,18,2014,26,69.2,63,3.5,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 4, 2, 0, 6, 1, 4, 9, 13, 6, 7, 3, 1, 1, 1, 1]",·····█·███·██·████████████
cs,optimal,stable,23,23,2003,26,88.5,174,7.57,"[0, 0, 0, 1, 1, 7, 8, 7, 9, 17, 12, 22, 21, 23, 25, 4, 3, 3, 3, 1, 1, 1, 1, 2, 1, 1]",···███████████████████████
cs,strategy,stable,12,17,2014,26,65.4,59,3.47,"[0, 0, 9, 0, 0, 0, 0, 1, 3, 0, 0, 1, 5, 0, 1, 5, 8, 8, 3, 3, 3, 3, 1, 1, 2, 2]",··█····██··██·████████████
cs,node,stable,19,22,2007,26,84.6,237,10.77,"[0, 3, 0, 1, 0, 3, 0, 4, 2, 5, 25, 39, 32, 30, 30, 32, 17, 2, 3, 2, 2, 1, 1, 1, 1, 1]",·█·█·█·███████████████████
cs,local,stable,13,15,2013,26,57.7,21,1.4,"[0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 4, 1, 1, 1, 2, 1, 2, 1, 1]",·█······█····█████████████
