subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
physics,magnetic,stable,26,26,2000,26,100.0,109,4.19,"[2, 2, 1, 1, 4, 2, 5, 2, 3, 3, 2, 6, 4, 5, 5, 6, 5, 6, 5, 5, 6, 5, 6, 4, 7, 7]",██████████████████████████
physics,time,stable,14,19,2012,26,73.1,34,1.79,"[1, 0, 1, 0, 0, 0, 2, 0, 2, 0, 2, 0, 2, 1, 1, 2, 1, 2, 2, 2, 1, 5, 2, 1, 2, 2]",█·█···█·█·█·██████████████
physics,model,stable,22,22,2004,26,84.6,66,3.0,"[0, 0, 0, 0, 1, 2, 2, 1, 1, 2, 1, 1, 5, 1, 2, 3, 3, 5, 6, 3, 4, 4, 5, 4, 6, 4]",····██████████████████████
physics,particle,stable,11,16,2015,26,61.5,32,2.0,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 2, 3, 4, 3, 4, 3, 2, 3]",█·······██··██·███████████
physics,analysis,stable,1,1,2009,26,3.8,1,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",·········█················
physics,state,stable,7,15,2011,26,57.7,28,1.87,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 2, 1, 1, 1, 2, 2, 0, 3, 0, 1, 1, 1, 4, 4]",█·······█··███████·█·█████
physics,states,stable,16,20,2010,26,76.9,45,2.25,"[1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 2, 2, 1, 2, 1, 3, 4, 3, 2, 4, 4, 4, 5]",███···█···████████████████
physics,laser,stable,26,26,2000,26,100.0,143,5.5,"[4, 3, 3, 2, 3, 5, 5, 6, 6, 5, 4, 7, 5, 6, 5, 5, 6, 6, 7, 7, 7, 6, 8, 8, 7, 7]",██████████████████████████
physics,used,stable,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
physics,dimensional,stable,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
