subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
cs,detection,emerging,12,15,2014,26,57.7,40,2.67,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 1, 0, 0, 0, 1, 2, 3, 2, 4, 3, 2, 3, 3, 4, 4, 3]",····█····██···████████████
cs,prediction,emerging,11,12,2015,26,46.2,16,1.33,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1]",·······█·······███████████
cs,visual,emerging,7,11,2019,26,42.3,19,1.73,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 2, 3, 0, 2, 2, 2, 2, 1, 1, 1]",·············█·███·███████
cs,neural_network,emerging,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
cs,multi,emerging,5,9,2021,26,34.6,13,1.44,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 2, 0, 0, 0, 0, 1, 1, 2, 1, 2]",········█···██··█····█████
cs,accuracy,emerging,8,12,2016,26,46.2,14,1.17,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 1, 1, 1, 0, 2]",█·····█·█·······████████·█
cs,benchmark,emerging,1,2,2022,26,7.7,2,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",······················█··█
cs,quality,emerging,11,12,2015,26,46.2,15,1.25,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1]",···········█···███████████
cs,attention,emerging,7,9,2019,26,34.6,14,1.56,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 3, 2, 2, 1, 2, 1]",········█········█·███████
cs,transformer,emerging,4,4,2021,26,15.4,8,2.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 2, 2, 0]",·····················████·
cs,network,stable,25,25,2001,26,96.2,169,6.76,"[0, 1, 3, 1, 4, 5, 3, 3, 4, 3, 8, 3, 9, 8, 7, 7, 12, 12, 14, 14, 12, 11, 10, 7, 4, 4]",·█████████████████████████
cs,graph,stable,20,24,2006,26,92.3,62,2.58,"[0, 1, 1, 2, 1, 0, 1, 1, 3, 1, 1, 2, 2, 2, 4, 3, 2, 4, 3, 2, 6, 4, 4, 4, 4, 4]",·████·████████████████████
