subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
math,coefficient,stable,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
math,space,stable,26,26,2000,26,100.0,79,3.04,"[1, 1, 2, 3, 2, 3, 2, 4, 5, 3, 4, 4, 5, 3, 4, 3, 3, 4, 2, 4, 3, 2, 3, 3, 3, 3]",██████████████████████████
math,sum,stable,4,13,2008,26,50.0,16,1.23,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 3, 1, 1, 0, 2, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1]",··██····████·█·██·█··█·█·█
math,degree,stable,1,2,2004,26,7.7,2,1.0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",····█·······█·············
math,rank,stable,4,8,2018,26,30.8,8,1.0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0]",·····█········█···████·██·
math,condition,stable,2,5,2007,26,19.2,5,1.0,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",█···█··██·█···············
math,positive,stable,1,1,2014,26,3.8,1,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··············█···········
math,constant,stable,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
math,group,decaying,26,26,2000,26,100.0,70,2.69,"[4, 4, 3, 3, 2, 2, 3, 2, 2, 4, 5, 3, 4, 3, 3, 3, 2, 2, 3, 1, 3, 1, 1, 3, 2, 2]",██████████████████████████
math,algebra,decaying,26,26,2000,26,100.0,89,3.42,"[4, 5, 4, 6, 4, 3, 3, 4, 3, 3, 3, 4, 2, 4, 3, 2, 4, 3, 3, 4, 3, 3, 3, 3, 3, 3]",██████████████████████████
