subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
math,manifold,decaying,26,26,2000,26,100.0,395,15.19,"[38, 23, 37, 30, 12, 24, 20, 17, 15, 23, 25, 20, 23, 23, 14, 6, 3, 3, 11, 11, 7, 5, 2, 1, 1, 1]",██████████████████████████
math,quantum,decaying,8,20,2000,26,76.9,59,2.95,"[13, 6, 10, 7, 2, 1, 2, 2, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 2, 1, 1, 2, 2]",████████··█··█·██·████████
math,invariant,decaying,26,26,2000,26,100.0,229,8.81,"[22, 6, 11, 20, 16, 14, 5, 6, 7, 12, 12, 19, 18, 16, 1, 2, 13, 8, 3, 3, 4, 3, 3, 3, 1, 1]",██████████████████████████
math,theory,decaying,26,26,2000,26,100.0,406,15.62,"[36, 32, 41, 34, 42, 39, 39, 38, 29, 8, 6, 7, 6, 4, 4, 4, 2, 3, 4, 3, 3, 3, 5, 6, 4, 4]",██████████████████████████
math,cohomology,decaying,1,2,2000,26,7.7,5,2.5,"[3, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",█······█··················
math,representation,decaying,26,26,2000,26,100.0,209,8.04,"[7, 4, 10, 5, 6, 7, 3, 4, 15, 16, 19, 16, 23, 18, 18, 7, 3, 2, 6, 12, 3, 1, 1, 1, 1, 1]",██████████████████████████
math,structure,decaying,26,26,2000,26,100.0,301,11.58,"[19, 23, 22, 19, 23, 26, 28, 27, 24, 27, 23, 2, 2, 1, 2, 2, 3, 5, 3, 2, 1, 2, 3, 4, 4, 4]",██████████████████████████
math,curve,decaying,16,22,2010,26,84.6,72,3.27,"[0, 13, 3, 0, 2, 1, 0, 1, 1, 0, 1, 6, 7, 2, 5, 5, 5, 6, 3, 2, 2, 3, 1, 1, 1, 1]",·██·██·██·████████████████
math,algebraic,decaying,7,22,2019,26,84.6,52,2.36,"[4, 4, 2, 2, 3, 0, 0, 2, 1, 2, 2, 0, 1, 4, 3, 2, 2, 2, 0, 1, 7, 4, 1, 1, 1, 1]",█████··████·██████·███████
math,module,decaying,6,19,2002,26,73.1,45,2.37,"[2, 0, 2, 1, 2, 1, 4, 2, 0, 0, 3, 0, 0, 1, 1, 1, 0, 1, 2, 3, 0, 4, 10, 3, 1, 1]",█·██████··█··███·███·█████
math,surface,decaying,26,26,2000,26,100.0,171,6.58,"[6, 6, 1, 7, 5, 6, 9, 3, 2, 12, 9, 8, 10, 19, 18, 11, 12, 7, 3, 3, 2, 2, 1, 3, 3, 3]",██████████████████████████
math,geometry,decaying,4,10,2022,26,38.5,16,1.6,"[2, 2, 0, 4, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 2]",██·█·██·········█·····████
math,theorem,decaying,26,26,2000,26,100.0,245,9.42,"[10, 14, 10, 21, 17, 26, 19, 14, 27, 32, 29, 1, 1, 1, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1]",██████████████████████████
math,symplectic,decaying,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
math,algebras,decaying,1,1,2003,26,3.8,1,1.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",···█······················
math,action,decaying,5,14,2021,26,53.8,30,2.14,"[1, 2, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 4, 8, 3, 3]",██·█·█·█··██···██····█████
math,deformation,decaying,1,1,2002,26,3.8,2,2.0,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··█·······················
math,projective,decaying,1,3,2001,26,11.5,3,1.0,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",·█··█···················█·
