subject,word,category,span,total_years_present,span_start,total_years,coverage_pct,total_topic_hits,avg_topics_when_present,topic_counts_per_year,presence
math,study,stable,1,1,2004,26,3.8,1,1.0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",····█·····················
math,non,stable,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
math,paper,stable,1,1,2007,26,3.8,1,1.0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",·······█··················
math,number,stable,23,24,2003,26,92.3,71,2.96,"[0, 1, 0, 2, 2, 2, 2, 2, 2, 3, 4, 3, 3, 3, 3, 3, 3, 4, 3, 4, 4, 3, 3, 5, 4, 3]",·█·███████████████████████
math,set,stable,12,21,2014,26,80.8,34,1.62,"[0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 2, 2, 3, 0, 1, 2, 1, 2, 2, 1, 1, 1, 2, 2, 3, 3]",··█·████·████·████████████
math,new,stable,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
math,prove,stable,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
math,functions,stable,23,25,2003,26,96.2,95,3.8,"[3, 2, 0, 1, 4, 3, 4, 2, 5, 5, 6, 4, 6, 6, 4, 3, 4, 5, 3, 3, 4, 4, 4, 3, 4, 3]",██·███████████████████████
math,point,stable,1,4,2003,26,15.4,4,1.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",···█·······█··█··········█
math,properties,stable,1,1,2003,26,3.8,1,1.0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",···█······················
math,result,stable,0,0,-1,26,0.0,0,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",··························
